YEAR,MONTH,MIN,MAX,HUMIDITY,RAINFALL,DENGUE
2008,1,13,25,79,1.29,0
2008,2,14,26,73,0.69,0
2008,3,20,31,77,0.97,0
2008,4,23,34,74,0.98,0
2008,5,24,34,77,7.02,0
2008,6,25,32,86,14.02,0
2008,7,25,31,88,22.57,160
2008,8,25,32,87,13.91,473
2008,9,25,32,85,9.11,334
2008,10,23,32,84,7.33,184
2008,11,18,30,79,0.11,0
2008,12,16,26,84,0.00,0
2009,1,13,26,80,0.00,0
2009,2,15,30,70,0.09,0
2009,3,20,33,70,0.52,0
2009,4,24,34,75,2.53,0
2009,5,24,34,78,8.92,1
2009,6,25,34,82,8.69,0
2009,7,25,32,86,19.68,4
2009,8,25,32,88,17.29,125
2009,9,25,33,85,9.11,188
2009,10,23,32,82,5.33,154
2009,11,19,30,78,0.54,0
2009,12,14,26,79,0.00,0
2010,1,11,25,79,0.00,0
2010,2,15,29,70,0.26,0
2010,3,21,34,70,0.67,0
2010,4,25,34,76,2.28,0
2010,5,25,34,80,9.43,0
2010,6,25,33,86,18.64,0
2010,7,26,32,85,10.53,61
2010,8,26,33,85,10.08,183
2010,9,25,32,86,7.87,120
2010,10,24,32,84,9.20,45
2010,11,20,30,80,0.49,1
2010,12,14,26,78,1.02,0
2011,1,11,24,77,0.05,0
2011,2,15,29,71,0.12,0
2011,3,19,32,70,1.19,0
2011,4,22,33,76,2.99,0
2011,5,24,33,81,8.82,0
2011,6,25,32,85,16.28,61
2011,7,25,32,85,15.08,255
2011,8,25,31,87,21.23,691
2011,9,25,32,86,12.85,193
2011,10,24,33,82,2.90,114
2011,11,18,30,79,0.03,36
2011,12,14,26,82,0.01,9
2012,1,13,25,77,0.42,0
2012,2,14,29,68,0.10,0
2012,3,20,32,71,0.77,0
2012,4,23,33,77,6.23,0
2012,5,25,35,78,4.87,0
2012,6,26,33,84,16.79,10
2012,7,26,32,87,17.28,129
2012,8,26,32,86,11.59,122
2012,9,25,32,86,9.44,246
2012,10,23,32,83,6.28,107
2012,11,18,29,79,1.56,27
2012,12,13,25,83,0.07,0
2013,1,11,25,76,0.02,6
2013,2,15,29,70,0.27,7
2013,3,20,33,70,0.29,3
2013,4,23,34,73,1.98,3
2013,5,24,32,84,16.49,12
2013,6,26,33,83,13.28,50
2013,7,26,32,85,12.14,172
2013,8,25,32,87,12.86,339
2013,9,25,33,86,9.65,385
2013,10,23,31,86,8.00,501
2013,11,18,30,78,0.01,218
2013,12,14,26,80,0.01,53
2014,1,12,25,80,0.00,15
2014,2,14,27,74,0.91,7
2014,3,19,32,68,0.58,2
2014,4,23,36,69,0.90,0
2014,5,25,35,76,6.51,8
2014,6,25,33,85,19.01,9
2014,7,26,33,85,11.65,82
2014,8,25,32,87,14.36,80
2014,9,25,32,85,11.20,76
2014,10,23,32,82,2.51,63
2014,11,18,30,78,0.05,22
2014,12,14,26,82,0.00,11
2015,1,13,25,80,0.34,0
2015,2,15,29,75,0.61,0
2015,3,19,32,68,0.71,2
2015,4,22,33,78,5.79,6
2015,5,25,34,79,5.61,10
2015,6,25,33,84,19.24,28
2015,7,25,31,88,26.85,171
2015,8,26,32,86,14.62,765
2015,9,25,33,85,12.55,965
2015,10,23,32,83,4.24,869
2015,11,19,30,80,0.31,271
2015,12,15,26,80,0.24,75
2016,1,12,25,80,0.22,13
2016,2,17,30,77,1.41,3
2016,3,21,33,74,1.58,17
2016,4,25,34,77,2.71,38
2016,5,24,34,79,10.87,70
2016,6,25,33,82,10.45,254
2016,7,25,32,87,17.99,926
2016,8,26,33,84,12.00,1451
2016,9,25,33,85,9.10,1544
2016,10,24,33,83,5.72,1077
2016,11,19,30,81,2.88,522
2016,12,15,28,81,0.03,145
2017,1,13,27,75,0.01,92
2017,2,15,30,71,0.19,58
2017,3,19,30,75,3.91,36
2017,4,23,33,79,9.13,73
2017,5,25,34,78,7.24,134
2017,6,25,33,84,16.61,267
2017,7,25,32,87,23.27,286
2017,8,26,33,86,16.01,346
2017,9,26,33,86,12.51,430
2017,10,24,32,85,9.49,512
2017,11,19,30,79,0.38,409
2017,12,16,27,83,1.60,126
2018,1,11,24,88,4.45,26
2018,2,16,29,80,10.96,7
2018,3,20,32,74,28.58,19
2018,4,22,33,74,248.93,29
2018,5,24,32,79,429.68,52
2018,6,26,28,82,653.17,295
2018,7,26,32,85,689.16,946
2018,8,26,33,83,355.23,1796
2018,9,26,33,81,263.17,3087
2018,10,23,31,80,181.23,2406
2018,11,18,30,77,6.50,1192
2018,12,14,26,79,16.23,293
2019,1,12,27,78,0.00,38
2019,2,15,28,78,56.18,18
2019,3,22,32,48,37.78,17
2019,4,25,34,57,225.04,58
2019,5,28,36,65,265.45,193
2019,6,28,34,70,346.56,1884
2019,7,27,33,78,271.54,16223
2019,8,26,35,78,244.67,3681
2019,9,24,35,79,213.07,6870
2019,10,22,35,78,205.94,2422
2019,11,19,32,73,100.99,1563
2019,12,13,31,73,7.8,594
2022,1,15,25,47,16.8,126
2022,2,18,30,46,35.4,23
2022,3,23,36,37,9.5,20
2022,4,26,38,57,118.48,23
2022,5,26,34,70,424.73,172
2022,6,26,32,75,362.42,361
2022,7,27,32,70,130.47,1209
2022,8,26,32,72,153.5,2805
2022,9,26,32,77,367.14,7497
2022,10,25,32,72,219.27,14288
2022,11,18,32,55,0.4,10773
2022,12,14,29,45,1.2,2590
2023,1,12,28,36,0.1,274
2023,2,18,31,37,0.5,76
2023,3,22,37,42,62.3,76
2023,4,20,40,48,43.35,109
2023,5,21,38,57,334.05,942
2023,6,13,38,69,345,4780
2023,7,22,37,75,297.15,24074
2023,8,26,37,79,563.7,28279
2023,9,25,36,77,265.42,25241
